"qseqid","sseqid","identity","coverage","evalue","length","mismatch","gapopen","gaps","qlen","qstart","qend","slen","sstart","send","contig_name","orf_num_in_contig","orf_start_pos","orf_end_pos","orf_direction","actual_start","actual_end","Tag","Type","Subtype","HMM.category","Mechanism.group","Mechanism.subgroup","Mechanism.subgroup2","SARG3.0_F","SARG3.0_L","SARG3.0_S"
"k141_229482_length_68491_cov_30.0502_15","BAH65231",100,100,6.28e-190,273,0,0,0,273,1,273,273,1,273,"k141_229482_length_68491_cov_30.0502",15,13403,14224,1,13404,14497,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_229482_length_68491_cov_30.0502_28","gi|490278417|ref|WP_004174363.1|",100,100,0,490,0,0,0,490,1,490,490,1,490,"k141_229482_length_68491_cov_30.0502",28,27637,29109,-1,27638,29599,"multicomponent system","multidrug","multidrug__tolC","tolC","Efflux pump","","","Yes","Yes","Yes"
"k141_97241_length_51018_cov_36.9994_29","BAH65866",100,100,2.66e-277,394,0,0,0,394,1,394,394,1,394,"k141_97241_length_51018_cov_36.9994",29,30266,31450,-1,30267,31844,"","multidrug","multidrug__emrD","emrD","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_149282_length_50699_cov_30.3738_43","gi|485663835|ref|WP_001305258.1|",86.8,99.6,0,509,67,0,0,511,3,511,512,4,512,"k141_149282_length_50699_cov_30.3738",43,40428,41963,1,40431,42474,"multicomponent system","multidrug","multidrug__emrB","emrB","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_15614_length_40131_cov_26.3578_2","gi|694076105|ref|WP_032421853.1|",99.8,100,0,1036,2,0,0,1036,1,1036,1036,1,1036,"k141_15614_length_40131_cov_26.3578",2,1133,4243,-1,1134,5279,"multicomponent system","multidrug","multidrug__acrF","acrF","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_148614_length_36632_cov_241.0708_2","gb|ABO11759.2|ARO:3004573|Acinetobacter",80,93,5.67e-251,425,85,0,0,457,23,447,429,5,429,"k141_148614_length_36632_cov_241.0708",2,197,1570,-1,220,2017,"","fosfomycin","fosfomycin__Acinetobacter baumannii AbaF","Acinetobacter baumannii AbaF","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_106334_length_22207_cov_303.8783_6","YP_001669149",95.3,100,2.37e-191,276,13,0,0,276,1,276,276,1,276,"k141_106334_length_22207_cov_303.8783",6,2538,3368,-1,2539,3644,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_62608_length_7939_cov_26.6698_7","ZP_00051658",81.7,100,1.58e-158,279,49,1,2,277,1,277,279,1,279,"k141_62608_length_7939_cov_26.6698",7,7041,7874,1,7042,8151,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_51439_length_5813_cov_5.0000_4","gi|924501662|ref|WP_053509023.1|",80.2,99.2,2.13e-302,510,101,0,0,514,5,514,512,3,512,"k141_51439_length_5813_cov_5.0000",4,3046,4590,-1,3051,5104,"multicomponent system","multidrug","multidrug__emrB","emrB","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_8079_length_5353_cov_30.8557_3","gb|AAC75089.1|ARO:3003577|ugd",83,100,3.11e-234,388,66,0,0,388,1,388,388,1,388,"k141_8079_length_5353_cov_30.8557",3,3645,4811,-1,3646,5199,"","polymyxin","polymyxin__ugd","ugd","Antibiotic target alteration","","","Yes","Yes","Yes"
"k141_62406_length_3698_cov_5.0000_2","gb|AAC75314.1|ARO:3003578|pmrF",86.7,96.3,3.53e-199,315,42,0,0,327,1,315,322,1,315,"k141_62406_length_3698_cov_5.0000",2,1315,2298,-1,1316,2613,"","polymyxin","polymyxin__pmrF","pmrF","Antibiotic target alteration","","","Yes","Yes","Yes"
"k141_206221_length_3235_cov_3.0000_4","ACB16010",95.8,100,9.07e-37,71,3,0,0,71,1,71,270,200,270,"k141_206221_length_3235_cov_3.0000",4,2866,3081,-1,2867,3152,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_213742_length_3038_cov_4.0000_3","gi|498120214|ref|WP_010434370.1|",96.9,100,2.9e-263,390,12,0,0,390,1,390,390,1,390,"k141_213742_length_3038_cov_4.0000",3,1669,2841,1,1670,3231,"multicomponent system","multidrug","multidrug__emrA","emrA","Efflux pump","","","Yes","Yes","Yes"
"k141_180360_length_1938_cov_6.0000_2","gi|503837792|ref|WP_014071786.1|",81.6,96.3,2.55e-249,446,82,0,0,463,1,446,488,1,446,"k141_180360_length_1938_cov_6.0000",2,524,1915,-1,525,2361,"multicomponent system","multidrug","multidrug__tolC","tolC","Efflux pump","","","Yes","Yes","Yes"
"k141_49136_length_1797_cov_7.6914_2","YP_001639853",89.8,100,8.39e-184,283,29,0,0,283,1,283,283,1,283,"k141_49136_length_1797_cov_7.6914",2,780,1631,-1,781,1914,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_103398_length_412365_cov_1601.8503_61","gb|AAP43110.2|ARO:3003923|oqxB",83.3,98.6,0,1043,174,0,0,1058,1,1043,1050,1,1043,"k141_103398_length_412365_cov_1601.8503",61,70227,73403,-1,70228,74446,"multicomponent system","multidrug","multidrug__oqxB","oqxB","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_79004_length_10023_cov_53.9974_9","YP_970399",89,99.6,2.78e-173,273,30,0,0,274,2,274,274,2,274,"k141_79004_length_10023_cov_53.9974",9,6632,7456,1,6634,7730,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_273471_length_9543_cov_51.1569_2","gi|740796309|ref|WP_038581593.1|",84.9,100,0,1048,154,1,4,1044,1,1044,1048,1,1048,"k141_273471_length_9543_cov_51.1569",2,570,3704,1,571,4748,"multicomponent system","multidrug","multidrug__MexB","MexB","Efflux pump","","","Yes","Yes","Yes"
"k141_436988_length_8281_cov_17.4925_7","YP_001639853",80.9,100,1.84e-153,283,38,1,16,267,1,267,283,1,283,"k141_436988_length_8281_cov_17.4925",7,5472,6275,-1,5473,6542,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_141732_length_7490_cov_12.6685_5","YP_001563294",86.8,99.3,8.79e-168,272,36,0,0,274,2,273,275,2,273,"k141_141732_length_7490_cov_12.6685",5,3813,4637,-1,3815,4910,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_6464_length_6982_cov_19.3535_7","AF313472.2.gene15.p01",99.3,100,4.16e-201,267,2,0,0,267,1,267,267,1,267,"k141_6464_length_6982_cov_19.3535",7,5098,5901,1,5099,6168,"","aminoglycoside","aminoglycoside__APH(3'')-Ib","APH(3'')-Ib","Enzymatic inactivation","Phosphotransferases","APH(3'')","Yes","Yes","Yes"
"k141_6464_length_6982_cov_19.3535_8","AY463797.7.gene32.p01",100,100,9.1e-206,278,0,0,0,278,1,278,278,1,278,"k141_6464_length_6982_cov_19.3535",8,5901,6737,1,5902,7015,"","aminoglycoside","aminoglycoside__APH(6)-Id","APH(6)-Id","Enzymatic inactivation","Phosphotransferases","APH(6)","Yes","Yes","Yes"
"k141_400643_length_6379_cov_22.8871_8","YP_970399",88.6,99.6,5.6e-173,273,31,0,0,274,2,274,274,2,274,"k141_400643_length_6379_cov_22.8871",8,5335,6159,1,5337,6433,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_159559_length_6019_cov_47.3231_2","gi|491017944|ref|WP_004879650.1|",96.1,100,0,1063,41,0,0,1063,1,1063,1063,1,1063,"k141_159559_length_6019_cov_47.3231",2,743,3934,1,744,4997,"multicomponent system","multidrug","multidrug__MexF","MexF","Efflux pump","","","Yes","Yes","Yes"
"k141_152397_length_3072_cov_41.7929_5","YP_236080",92,95.8,9.25e-183,276,22,0,0,288,13,288,276,1,276,"k141_152397_length_3072_cov_41.7929",5,1832,2698,-1,1845,2986,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_272646_length_2102_cov_9.8118_1","YP_970399",94.1,99.6,8.48e-184,273,16,0,0,274,2,274,274,2,274,"k141_272646_length_2102_cov_9.8118",1,71,895,-1,73,1169,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_176798_length_1939_cov_9.0000_1","ZP_00051658",81.4,100,4.36e-151,279,40,1,12,267,1,267,279,1,279,"k141_176798_length_1939_cov_9.0000",1,266,1069,-1,267,1336,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_13763_length_709523_cov_42.4402_275","CAY51926",88.5,98.6,0,1007,116,0,0,1021,1,1007,1008,1,1007,"k141_13763_length_709523_cov_42.4402",275,299515,302580,-1,299516,303587,"multicomponent system","multidrug","multidrug__mexW","mexW","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_13763_length_709523_cov_42.4402_334","gi|740796309|ref|WP_038581593.1|",84.9,100,0,1048,154,1,4,1044,1,1044,1048,1,1048,"k141_13763_length_709523_cov_42.4402",334,382953,386087,-1,382954,387131,"multicomponent system","multidrug","multidrug__MexB","MexB","Efflux pump","","","Yes","Yes","Yes"
"k141_63799_length_662755_cov_768.5848_286","gb|AAP43110.2|ARO:3003923|oqxB",83.3,98.6,0,1043,174,0,0,1058,1,1043,1050,1,1043,"k141_63799_length_662755_cov_768.5848",286,339170,342346,1,339171,343389,"multicomponent system","multidrug","multidrug__oqxB","oqxB","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_275946_length_612751_cov_1087.1370_14","YP_002029850",98.5,100,3.21e-257,393,6,0,0,393,1,393,393,1,393,"k141_275946_length_612751_cov_1087.1370",14,11708,12889,1,11709,13282,"multicomponent system","multidrug","multidrug__smeD","smeD","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_275946_length_612751_cov_1087.1370_15","YP_002029849",99.1,99.8,0,1038,9,0,0,1040,1,1038,1040,1,1038,"k141_275946_length_612751_cov_1087.1370",15,12902,16024,1,12903,17062,"multicomponent system","multidrug","multidrug__smeE","smeE","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_275946_length_612751_cov_1087.1370_16","CAG34251",96.1,100,4.24e-300,461,18,0,0,461,1,461,466,6,466,"k141_275946_length_612751_cov_1087.1370",16,16122,17507,1,16123,17968,"multicomponent system","multidrug","multidrug__smeF","smeF","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_13114_length_597302_cov_1062.8283_154","gi|727710352|ref|WP_033833767.1|",93.5,100,1.18e-250,398,26,0,0,398,1,398,398,1,398,"k141_13114_length_597302_cov_1062.8283",154,173998,175194,1,173999,175592,"multicomponent system","multidrug","multidrug__MexE","MexE","Efflux pump","","","Yes","Yes","Yes"
"k141_13114_length_597302_cov_1062.8283_156","gi|475005571|emb|CCP13702.1|",94.1,100,6.34e-292,471,28,0,0,471,1,471,471,1,471,"k141_13114_length_597302_cov_1062.8283",156,178353,179768,1,178354,180239,"multicomponent system","multidrug","multidrug__OprM","OprM","Efflux pump","","","Yes","Yes","Yes"
"k141_106287_length_367917_cov_40.4127_226","gi|852273548|ref|WP_048328542.1|",82.1,99.9,0,1037,186,0,0,1038,1,1037,1043,1,1037,"k141_106287_length_367917_cov_40.4127",226,265072,268188,-1,265073,269225,"multicomponent system","multidrug","multidrug__MexD","MexD","Efflux pump","","","Yes","Yes","Yes"
"k141_234046_length_301604_cov_1059.2608_189","HQ424460.1.gene1.p01",83.1,100,9.33e-157,267,45,0,0,267,1,267,267,1,267,"k141_234046_length_301604_cov_1059.2608",189,223208,224011,-1,223209,224278,"","aminoglycoside","aminoglycoside__APH(3')-IIc","APH(3')-IIc","Enzymatic inactivation","Phosphotransferases","APH(3')","Yes","Yes","Yes"
"k141_12584_length_300948_cov_1071.0564_16","gi|896491778|ref|WP_049401445.1|",93.4,100,1.59e-195,286,19,0,0,286,1,286,290,5,290,"k141_12584_length_300948_cov_1071.0564",16,16906,17766,1,16907,18052,"","beta_lactam","beta_lactam__L1 beta-lactamase","L1 beta-lactamase","Enzymatic inactivation","Class B3 beta-lactamase","","Yes","Yes","Yes"
"k141_147181_length_167352_cov_40.0095_5","gb|AAG07064.1|ARO:3003693|mexK",80.2,99.9,0,1020,200,1,2,1019,1,1018,1025,1,1020,"k141_147181_length_167352_cov_40.0095",5,3467,6526,1,3468,7544,"multicomponent system","multidrug","multidrug__mexK","mexK","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_286518_length_96453_cov_40.2369_15","gi|491017944|ref|WP_004879650.1|",96.2,100,0,1063,40,0,0,1063,1,1063,1063,1,1063,"k141_286518_length_96453_cov_40.2369",15,15710,18901,1,15711,19964,"multicomponent system","multidrug","multidrug__MexF","MexF","Efflux pump","","","Yes","Yes","Yes"
"k141_286518_length_96453_cov_40.2369_62","YP_236080",92,95.8,9.25e-183,276,22,0,0,288,13,288,276,1,276,"k141_286518_length_96453_cov_40.2369",62,70366,71232,-1,70379,71520,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_236054_length_18047_cov_10.0000_3","YP_970399",89,99.6,1.38e-173,273,30,0,0,274,2,274,274,2,274,"k141_236054_length_18047_cov_10.0000",3,3237,4061,-1,3239,4335,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_294259_length_7654_cov_15.7700_3","AF090987.gene.p01",88.2,96.5,4.36e-242,390,46,0,0,404,1,390,394,1,390,"k141_294259_length_7654_cov_15.7700",3,1683,2897,-1,1684,3287,"","tetracycline","tetracycline__tet(30)","tet(30)","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_211953_length_5761_cov_7.0000_1","BAH65231",90.5,100,2.21e-174,273,26,0,0,273,1,273,273,1,273,"k141_211953_length_5761_cov_7.0000",1,122,943,1,123,1216,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_128269_length_5416_cov_11.9754_3","AF313472.2.gene15.p01",99.3,100,4.16e-201,267,2,0,0,267,1,267,267,1,267,"k141_128269_length_5416_cov_11.9754",3,3564,4367,1,3565,4634,"","aminoglycoside","aminoglycoside__APH(3'')-Ib","APH(3'')-Ib","Enzymatic inactivation","Phosphotransferases","APH(3'')","Yes","Yes","Yes"
"k141_128269_length_5416_cov_11.9754_4","AY463797.7.gene32.p01",100,100,9.1e-206,278,0,0,0,278,1,278,278,1,278,"k141_128269_length_5416_cov_11.9754",4,4367,5203,1,4368,5481,"","aminoglycoside","aminoglycoside__APH(6)-Id","APH(6)-Id","Enzymatic inactivation","Phosphotransferases","APH(6)","Yes","Yes","Yes"
"k141_228091_length_3369_cov_5.0000_2","gi|745784185|ref|WP_039077609.1|",95.5,99.2,0,510,22,1,1,513,5,513,512,3,512,"k141_228091_length_3369_cov_5.0000",2,272,1813,-1,277,2326,"multicomponent system","multidrug","multidrug__emrB","emrB","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_228091_length_3369_cov_5.0000_3","gi|763071034|ref|WP_043952516.1|",88.7,100,5.07e-241,390,44,0,0,390,1,390,390,1,390,"k141_228091_length_3369_cov_5.0000",3,1820,2992,-1,1821,3382,"multicomponent system","multidrug","multidrug__emrA","emrA","Efflux pump","","","Yes","Yes","Yes"
"k141_172133_length_2898_cov_4.0000_2","gi|757781454|ref|WP_043000038.1|",80.2,99.7,0,657,130,0,0,659,1,657,660,1,657,"k141_172133_length_2898_cov_4.0000",2,506,2485,1,507,3142,"","polymyxin","polymyxin__arnA","arnA","Antibiotic target alteration","","","Yes","Yes","Yes"
"k141_171620_length_2040_cov_4.0000_2","gi|745784678|ref|WP_039078098.1|",87.4,99,4.05e-281,478,55,2,5,479,1,474,481,1,477,"k141_171620_length_2040_cov_4.0000",2,355,1794,-1,356,2268,"multicomponent system","multidrug","multidrug__tolC","tolC","Efflux pump","","","Yes","Yes","Yes"
"k131_57766_length_8378_cov_18.0000_10","AAA27431",99.2,100,3.81e-192,266,2,0,0,266,1,266,266,1,266,"k131_57766_length_8378_cov_18.0000",10,6613,7413,1,6614,7679,"","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","erm(F)","Antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase","","Yes","Yes","Yes"
"k131_116571_length_5230_cov_9.0000_2","Z21523.gene.p01",97.9,99.8,0,656,14,0,0,657,2,657,657,2,657,"k131_116571_length_5230_cov_9.0000",2,2440,4413,1,2442,5070,"","tetracycline","tetracycline__tet(Q)","tet(Q)","Antibiotic target protection","","","Yes","Yes","Yes"
"k131_121224_length_8482_cov_14.0017_4","AAA27431",99.2,100,3.81e-192,266,2,0,0,266,1,266,266,1,266,"k131_121224_length_8482_cov_14.0017",4,779,1579,-1,780,1845,"","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","erm(F)","Antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase","","Yes","Yes","Yes"
"k131_457706_length_8500_cov_18.9140_13","AAA27431",99.2,100,3.81e-192,266,2,0,0,266,1,266,266,1,266,"k131_457706_length_8500_cov_18.9140",13,7582,8382,-1,7583,8648,"","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","erm(F)","Antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase","","Yes","Yes","Yes"
"k131_446389_length_4844_cov_9.0000_4","gb|WP_128268281.1|ARO:3006981|RSA2-1",90.1,100,5.07e-182,282,28,0,0,282,1,282,310,29,310,"k131_446389_length_4844_cov_9.0000",4,1703,2551,1,1704,2833,"","beta_lactam","beta_lactam__RSA2-1","","","","","","",""
"k131_396259_length_3992_cov_13.0000_2","Z21523.gene.p01",97.7,99.8,0,656,15,0,0,657,2,657,657,2,657,"k131_396259_length_3992_cov_13.0000",2,1498,3471,1,1500,4128,"","tetracycline","tetracycline__tet(Q)","tet(Q)","Antibiotic target protection","","","Yes","Yes","Yes"
"k131_460115_length_2889_cov_5.0000_3","CP004022.1.gene3225.p01",81.6,77.6,5.74e-14,38,7,0,0,49,1,38,394,1,38,"k131_460115_length_2889_cov_5.0000",3,1764,1913,-1,1765,1951,"","multidrug","multidrug__emrD","emrD","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k131_374350_length_2640_cov_10.0000_1","P72533",99.5,100,0,639,3,0,0,639,1,639,639,1,639,"k131_374350_length_2640_cov_10.0000",1,8,1927,-1,9,2566,"","tetracycline","tetracycline__tet(O)","tet(O)","Antibiotic target protection","","","Yes","Yes","Yes"
"k131_175991_length_2185_cov_5.9197_3","gi|491055941|ref|WP_004917586.1|",80.4,98.6,1.62e-209,357,68,1,2,362,6,362,498,144,498,"k131_175991_length_2185_cov_5.9197",3,567,1655,-1,573,2017,"multicomponent system","multidrug","multidrug__emrB","emrB","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k131_175991_length_2185_cov_5.9197_4","gi|928870254|ref|WP_053909077.1|",89.7,97.5,2.43e-94,156,16,0,0,160,3,158,513,3,158,"k131_175991_length_2185_cov_5.9197",4,1627,2109,-1,1630,2267,"multicomponent system","multidrug","multidrug__emrB","emrB","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k131_204025_length_8482_cov_20.0024_4","AAA27431",99.2,100,3.81e-192,266,2,0,0,266,1,266,266,1,266,"k131_204025_length_8482_cov_20.0024",4,646,1446,-1,647,1712,"","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","erm(F)","Antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase","","Yes","Yes","Yes"
"k131_173852_length_7401_cov_10.0000_9","Q08425",97.8,100,0,641,14,0,0,641,1,641,641,1,641,"k131_173852_length_7401_cov_10.0000",9,4304,6229,-1,4305,6870,"","tetracycline","tetracycline__tet(Q)","tet(Q)","Antibiotic target protection","","","Yes","Yes","Yes"
"k131_198416_length_8482_cov_17.0020_4","AAA27431",99.2,100,3.81e-192,266,2,0,0,266,1,266,266,1,266,"k131_198416_length_8482_cov_17.0020",4,2887,3687,1,2888,3953,"","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","erm(F)","Antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase","","Yes","Yes","Yes"
"k131_251755_length_6154_cov_9.0000_2","Q08425",97.3,100,0,641,17,0,0,641,1,641,641,1,641,"k131_251755_length_6154_cov_9.0000",2,588,2513,-1,589,3154,"","tetracycline","tetracycline__tet(Q)","tet(Q)","Antibiotic target protection","","","Yes","Yes","Yes"
"k131_183637_length_1866_cov_5.0000_2","ACE78320",84.2,98.3,4.29e-191,297,47,0,0,302,1,297,302,1,297,"k131_183637_length_1866_cov_5.0000",2,596,1504,1,597,1801,"","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__mph(B)","mph(B)","Enzymatic inactivation","phosphorylases","MLS_macrolide","Yes","Yes","Yes"
"k131_64240_length_8385_cov_19.0000_5","AAA27431",99.2,100,3.81e-192,266,2,0,0,266,1,266,266,1,266,"k131_64240_length_8385_cov_19.0000",5,4169,4969,1,4170,5235,"","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","erm(F)","Antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase","","Yes","Yes","Yes"
"k131_19054_length_6323_cov_10.0000_2","Q08425",97.8,100,0,641,14,0,0,641,1,641,641,1,641,"k131_19054_length_6323_cov_10.0000",2,2838,4763,1,2839,5404,"","tetracycline","tetracycline__tet(Q)","tet(Q)","Antibiotic target protection","","","Yes","Yes","Yes"
"k131_13571_length_2985_cov_9.0000_2","P72533",99.7,100,0,639,2,0,0,639,1,639,639,1,639,"k131_13571_length_2985_cov_9.0000",2,917,2836,1,918,3475,"","tetracycline","tetracycline__tet(O)","tet(O)","Antibiotic target protection","","","Yes","Yes","Yes"
"k127_144089_length_8478_cov_17.0020_4","AAA27431",99.2,100,3.81e-192,266,2,0,0,266,1,266,266,1,266,"k127_144089_length_8478_cov_17.0020",4,614,1414,-1,615,1680,"","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","erm(F)","Antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase","","Yes","Yes","Yes"
"k127_225451_length_5568_cov_11.0000_2","Q08425",98,100,0,641,13,0,0,641,1,641,641,1,641,"k127_225451_length_5568_cov_11.0000",2,375,2300,-1,376,2941,"","tetracycline","tetracycline__tet(Q)","tet(Q)","Antibiotic target protection","","","Yes","Yes","Yes"
"k127_39274_length_2467_cov_8.0000_2","P72533",99.4,100,0,639,4,0,0,639,1,639,639,1,639,"k127_39274_length_2467_cov_8.0000",2,175,2094,-1,176,2733,"","tetracycline","tetracycline__tet(O)","tet(O)","Antibiotic target protection","","","Yes","Yes","Yes"
"k131_56989_length_1353_cov_4.0000_1","GQ149347.1.gene4.p1",100,100,1.24e-207,286,0,0,0,286,1,286,286,1,286,"k131_56989_length_1353_cov_4.0000",1,158,1018,1,159,1304,"","beta_lactam","beta_lactam__TEM-171","TEM","Enzymatic inactivation","Class A beta-lactamase","","Yes","Yes","Yes"
"k131_53673_length_1309_cov_4.0000_1","AAA27431",99.2,100,3.81e-192,266,2,0,0,266,1,266,266,1,266,"k131_53673_length_1309_cov_4.0000",1,431,1231,-1,432,1497,"","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","erm(F)","Antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase","","Yes","Yes","Yes"
"k131_20044_length_13466_cov_13.0000_5","YP_001187667",82.2,97.8,2.02e-160,270,48,0,0,276,6,275,276,6,275,"k131_20044_length_13466_cov_13.0000",5,2385,3215,-1,2391,3490,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k131_128963_length_8482_cov_28.9598_2","AAA27431",99.2,100,3.81e-192,266,2,0,0,266,1,266,266,1,266,"k131_128963_length_8482_cov_28.9598",2,1180,1980,1,1181,2246,"","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","erm(F)","Antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase","","Yes","Yes","Yes"
"k131_157678_length_4859_cov_17.0000_2","BAD46890",97.5,100,0,641,16,0,0,641,1,641,657,17,657,"k131_157678_length_4859_cov_17.0000",2,1362,3287,1,1363,3928,"","tetracycline","tetracycline__tet(Q)","tet(Q)","Antibiotic target protection","","","Yes","Yes","Yes"
"k131_45059_length_3989_cov_7.0000_2","gb|WP_128268281.1|ARO:3006981|RSA2-1",90.4,100,1.07e-183,282,27,0,0,282,1,282,310,29,310,"k131_45059_length_3989_cov_7.0000",2,435,1283,-1,436,1565,"","beta_lactam","beta_lactam__RSA2-1","","","","","","",""
"k131_124209_length_3191_cov_12.0000_3","P72533",99.7,100,0,639,2,0,0,639,1,639,639,1,639,"k131_124209_length_3191_cov_12.0000",3,1087,3006,1,1088,3645,"","tetracycline","tetracycline__tet(O)","tet(O)","Antibiotic target protection","","","Yes","Yes","Yes"
"k131_146206_length_1139_cov_4.0000_2","gb|AAD01868.1|ARO:3002867|dfrF",100,100,6.23e-118,164,0,0,0,164,1,164,164,1,164,"k131_146206_length_1139_cov_4.0000",2,519,1013,-1,520,1177,"","trimethoprim","trimethoprim__dfrF","dfrF","Antibiotic target replacement","dihydrofolate reductase","","Yes","Yes","Yes"
"k131_188631_length_8482_cov_20.9738_3","AAA27431",99.2,100,3.81e-192,266,2,0,0,266,1,266,266,1,266,"k131_188631_length_8482_cov_20.9738",3,1621,2421,1,1622,2687,"","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","erm(F)","Antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase","","Yes","Yes","Yes"
"k131_99146_length_5118_cov_14.0000_2","Z21523.gene.p01",97.9,99.8,0,656,14,0,0,657,2,657,657,2,657,"k131_99146_length_5118_cov_14.0000",2,2553,4526,1,2555,5183,"","tetracycline","tetracycline__tet(Q)","tet(Q)","Antibiotic target protection","","","Yes","Yes","Yes"
"k131_48311_length_2904_cov_10.0000_2","P72533",98.9,100,0,639,7,0,0,639,1,639,639,1,639,"k131_48311_length_2904_cov_10.0000",2,611,2530,1,612,3169,"","tetracycline","tetracycline__tet(O)","tet(O)","Antibiotic target protection","","","Yes","Yes","Yes"
"k119_12855_length_37924_cov_20.7407_27","gi|740796309|ref|WP_038581593.1|",88.5,100,0,1050,119,2,2,1050,1,1050,1048,1,1048,"k119_12855_length_37924_cov_20.7407",27,29799,32951,1,29800,34001,"multicomponent system","multidrug","multidrug__MexB","MexB","Efflux pump","","","Yes","Yes","Yes"
